20
30

0.89	0.95	0.82	1.13	0.76	0.99	1.04	1.05	1.15	0.9	0.79	0.91	0.92	0.96	1.03	0.93	0.99	1.08	1.03	0.99	

4	-1	9	-1	-1	-1	-1	-1	5	-1	1	3	5	-1	4	-1	-1	7	2	10	10	8	-1	5	6	-1	-1	4	6	9	
-1	4	-1	10	-1	-1	-1	6	8	3	-1	7	-1	-1	-1	-1	2	4	-1	-1	-1	7	-1	9	1	-1	-1	-1	7	3	
-1	6	-1	3	9	1	1	-1	5	1	-1	-1	-1	7	10	7	1	-1	-1	-1	7	5	-1	2	7	-1	4	10	-1	-1	
7	7	-1	3	5	7	7	-1	5	7	-1	-1	10	6	-1	4	-1	-1	-1	8	-1	4	-1	3	5	7	-1	-1	-1	-1	
-1	3	-1	9	-1	-1	-1	-1	4	-1	5	-1	1	7	1	9	4	-1	8	-1	5	-1	-1	-1	7	3	-1	-1	7	10	
-1	10	8	10	6	-1	2	-1	1	-1	-1	-1	10	-1	9	-1	-1	2	9	-1	-1	-1	-1	9	3	-1	-1	-1	5	-1	
-1	-1	-1	8	1	-1	6	-1	8	9	-1	2	-1	4	-1	6	-1	-1	-1	6	4	1	-1	10	6	10	-1	2	1	-1	
-1	2	10	-1	4	-1	6	-1	9	-1	9	1	2	-1	9	7	1	8	-1	-1	4	4	-1	4	9	-1	-1	-1	1	-1	
-1	3	-1	4	-1	4	-1	-1	7	10	-1	-1	8	-1	-1	2	-1	-1	-1	4	4	1	-1	7	7	-1	2	-1	5	-1	
-1	8	-1	7	7	-1	5	-1	9	3	8	-1	8	-1	-1	-1	-1	6	6	-1	-1	10	-1	9	3	-1	-1	10	7	-1	
-1	1	-1	-1	-1	-1	-1	3	9	7	2	-1	2	10	-1	2	-1	10	8	-1	9	3	-1	1	9	-1	-1	7	3	-1	
-1	10	-1	-1	-1	-1	8	-1	5	7	-1	7	2	5	-1	6	-1	-1	5	9	7	6	3	3	5	10	-1	10	7	-1	
8	4	-1	2	-1	-1	-1	-1	4	-1	8	2	6	-1	-1	10	-1	7	-1	9	1	5	-1	2	8	-1	2	4	8	10	
-1	7	3	3	2	3	7	-1	2	5	-1	-1	-1	-1	6	9	-1	-1	2	4	5	1	-1	1	-1	-1	-1	4	6	-1	
6	1	1	10	-1	-1	6	-1	-1	-1	3	-1	10	9	-1	-1	5	-1	9	-1	9	6	-1	6	3	1	1	-1	7	-1	
-1	-1	3	4	-1	-1	7	-1	-1	-1	8	-1	8	-1	-1	5	-1	-1	-1	2	9	10	5	2	-1	-1	4	-1	10	-1	
-1	7	4	2	-1	-1	10	6	-1	-1	-1	6	8	2	-1	-1	5	-1	6	9	9	5	8	-1	5	-1	5	-1	9	-1	
-1	3	-1	10	-1	-1	4	-1	5	-1	3	-1	7	-1	1	-1	5	-1	-1	-1	-1	7	-1	2	-1	9	-1	9	8	7	
-1	7	8	5	-1	-1	8	-1	-1	10	-1	10	8	3	10	9	5	-1	-1	-1	10	10	8	1	1	2	1	-1	-1	1	
-1	2	6	8	-1	-1	5	-1	10	6	-1	-1	4	10	-1	-1	8	3	-1	-1	8	3	6	9	-1	-1	-1	1	3	3	

12	10	14	14	11	12	14	15	8	9	12	11	8	12	10	15	14	14	8	8	15	10	12	7	15	13	14	10	8	11	
10	9	14	12	8	11	13	13	5	8	12	10	9	12	9	14	11	13	8	5	13	9	12	5	14	11	12	9	5	12	
10	11	13	13	9	10	15	14	4	7	12	12	8	13	10	12	13	15	9	8	12	9	12	7	13	13	14	9	9	14	
11	8	13	13	9	12	13	14	4	9	12	12	5	11	9	13	10	13	8	9	12	12	13	9	15	10	14	10	8	13	
11	12	15	17	11	14	14	16	6	10	15	13	9	15	11	16	14	14	10	8	15	11	13	9	16	14	14	11	10	13	
8	8	13	12	8	10	14	13	3	8	11	11	8	11	8	14	10	13	5	6	14	9	13	7	14	11	14	7	7	11	
12	10	15	12	9	14	15	15	7	11	14	12	10	14	10	16	14	14	9	9	16	11	13	9	16	12	15	8	9	13	
8	8	15	10	8	9	14	13	5	9	11	10	9	14	8	12	12	14	7	4	12	7	9	5	12	11	12	6	6	10	
12	11	16	13	10	13	15	15	6	10	14	14	9	13	10	15	13	14	10	11	15	11	13	9	16	13	17	11	10	15	
10	9	15	12	11	11	13	13	5	9	12	12	7	14	8	12	13	14	8	6	14	9	11	6	14	10	14	9	6	12	
12	11	15	14	9	13	14	15	6	9	14	12	9	14	10	15	15	14	12	8	16	11	12	10	16	13	14	10	10	16	
12	11	13	14	9	14	14	14	8	9	13	13	8	15	10	16	14	14	6	8	16	10	13	10	16	13	15	9	9	13	
11	10	13	14	10	11	14	14	6	9	13	12	7	13	8	13	12	14	8	8	14	12	12	9	14	11	14	10	8	13	
14	12	17	15	13	14	17	15	9	10	14	15	10	17	13	18	17	15	10	11	17	12	15	11	16	15	19	13	11	15	
9	9	13	12	8	10	14	13	3	8	11	11	7	11	9	13	11	13	7	8	14	8	12	7	15	12	15	7	9	12	
11	11	14	13	10	12	16	14	6	9	13	12	9	14	10	16	14	14	8	10	15	10	14	8	15	12	17	10	9	13	
11	9	15	13	11	11	14	14	7	9	12	11	7	11	8	14	14	14	10	9	16	10	14	8	15	13	16	9	11	14	
12	14	14	15	10	13	16	15	6	8	14	13	9	14	11	17	14	15	9	11	16	11	13	8	16	14	17	11	9	16	
13	12	14	14	11	12	16	15	6	9	14	15	9	16	11	16	16	16	11	9	16	13	13	11	16	15	17	11	9	16	
10	11	14	12	10	10	15	14	4	7	12	11	9	12	11	14	14	14	10	9	14	9	11	6	12	13	18	8	6	14	
10	11	14	16	11	12	15	14	4	9	12	13	8	13	11	17	12	14	8	9	15	12	12	8	16	13	15	12	7	13	
10	11	12	12	8	11	14	14	5	8	12	10	9	12	8	13	12	14	8	9	15	9	10	7	14	10	15	7	9	13	
